batting_team,bowling_team,venue,target,current_score,wickets,overs,run_rate,req_run_rate,result
Royal Challengers Bangalore,Chennai Super Kings,St George's Park,180,87,10,15,5.8,18.6,0
Royal Challengers Bangalore,Deccan Chargers,Newlands,185,121,5,15,8.066666666666666,12.8,0
Chennai Super Kings,Delhi Daredevils,Kingsmead,190,156,5,15,10.4,6.8,0
Kolkata Knight Riders,Rajasthan Royals,Newlands,151,120,5,15,8.0,6.2,0
Kings XI Punjab,Royal Challengers Bangalore,Kingsmead,169,128,2,15,8.533333333333333,8.2,1
Mumbai Indians,Deccan Chargers,Kingsmead,169,119,4,15,7.933333333333334,10.0,0
Delhi Daredevils,Royal Challengers Bangalore,St George's Park,150,107,4,15,7.133333333333334,8.6,1
Rajasthan Royals,Kings XI Punjab,Newlands,140,86,6,15,5.733333333333333,10.8,0
Deccan Chargers,Chennai Super Kings,Kingsmead,166,131,4,15,8.733333333333333,7.0,1
Kolkata Knight Riders,Mumbai Indians,St George's Park,188,95,9,15,6.333333333333333,18.6,0
Rajasthan Royals,Delhi Daredevils,SuperSport Park,144,109,5,15,7.266666666666667,7.0,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,140,107,4,15,7.133333333333334,6.6,1
Mumbai Indians,Kings XI Punjab,Kingsmead,120,88,4,15,5.866666666666666,6.4,0
Delhi Daredevils,Deccan Chargers,SuperSport Park,149,111,3,15,7.4,7.6,1
Rajasthan Royals,Chennai Super Kings,SuperSport Park,165,107,5,15,7.133333333333334,11.6,0
Kolkata Knight Riders,Mumbai Indians,Buffalo Park,149,111,3,15,7.4,7.6,0
Kings XI Punjab,Royal Challengers Bangalore,Kingsmead,146,102,3,15,6.8,8.8,0
Rajasthan Royals,Deccan Chargers,St George's Park,142,113,6,15,7.533333333333333,5.8,1
Delhi Daredevils,Chennai Super Kings,New Wanderers Stadium,164,127,4,15,8.466666666666667,7.4,0
Kings XI Punjab,Kolkata Knight Riders,St George's Park,154,121,4,15,8.066666666666666,6.6,1
Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,150,127,1,15,8.466666666666667,4.6,1
Deccan Chargers,Chennai Super Kings,Buffalo Park,179,100,10,15,6.666666666666667,15.8,0
Kings XI Punjab,Rajasthan Royals,Kingsmead,212,114,7,15,7.6,19.6,0
Delhi Daredevils,Kolkata Knight Riders,Kingsmead,155,123,1,15,8.2,6.4,1
Mumbai Indians,Deccan Chargers,SuperSport Park,146,103,6,15,6.866666666666666,8.6,0
Rajasthan Royals,Royal Challengers Bangalore,SuperSport Park,106,107,3,15,7.133333333333334,-0.2,1
Kings XI Punjab,Chennai Super Kings,SuperSport Park,186,157,3,15,10.466666666666667,5.8,0
Delhi Daredevils,Mumbai Indians,Buffalo Park,117,93,2,15,6.2,4.8,1
Kings XI Punjab,Deccan Chargers,De Beers Diamond Oval,169,124,5,15,8.266666666666667,9.0,1
Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,141,117,2,15,7.8,4.8,1
Royal Challengers Bangalore,Mumbai Indians,St George's Park,158,106,6,15,7.066666666666666,10.4,0
Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,124,110,3,15,7.333333333333333,2.8,1
Rajasthan Royals,Deccan Chargers,De Beers Diamond Oval,167,98,8,15,6.533333333333333,13.8,0
