batting_team,bowling_team,venue,target,current_score,wickets,overs,run_rate,req_run_rate,result
Delhi Daredevils,Mumbai Indians,Wankhede Stadium,93,93,3,15,6.2,0.0,1
Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,197,142,4,15,9.466666666666667,11.0,1
Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,183,128,4,15,8.533333333333333,11.0,1
Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",125,117,2,15,7.8,1.6,1
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,158,121,5,15,8.066666666666666,7.4,1
Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",165,124,5,15,8.266666666666667,8.2,0
Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",164,132,3,15,8.8,6.4,1
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",147,116,1,15,7.733333333333333,6.2,1
Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,193,139,5,15,9.266666666666667,10.8,0
Kings XI Punjab,Mumbai Indians,Wankhede Stadium,164,120,3,15,8.0,8.8,1
Kolkata Knight Riders,Deccan Chargers,Barabati Stadium,127,101,4,15,6.733333333333333,5.2,1
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,190,110,5,15,7.333333333333333,16.0,0
Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,147,148,2,15,9.866666666666667,-0.2,1
Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",169,117,4,15,7.8,10.4,1
Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,178,111,5,15,7.4,13.4,0
Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,208,142,6,15,9.466666666666667,13.2,0
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",157,107,6,15,7.133333333333334,10.0,0
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,191,98,4,15,6.533333333333333,18.6,0
Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,153,117,1,15,7.8,7.2,0
Mumbai Indians,Deccan Chargers,Wankhede Stadium,101,81,4,15,5.4,4.0,1
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",140,112,2,15,7.466666666666667,5.6,1
Pune Warriors,Deccan Chargers,Barabati Stadium,187,125,3,15,8.333333333333334,12.4,0
Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,142,144,4,15,9.6,-0.4,1
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,159,146,2,15,9.733333333333333,2.6,1
Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,121,85,4,15,5.666666666666667,7.2,0
Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",161,106,3,15,7.066666666666666,11.0,0
Pune Warriors,Kolkata Knight Riders,Eden Gardens,151,116,5,15,7.733333333333333,7.0,0
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",178,104,5,15,6.933333333333334,14.8,0
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,174,136,2,15,9.066666666666666,7.6,1
Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,182,130,4,15,8.666666666666666,10.4,1
Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,154,134,3,15,8.933333333333334,4.0,1
Rajasthan Royals,Pune Warriors,Subrata Roy Sahara Stadium,126,121,3,15,8.066666666666666,1.0,1
Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",171,110,5,15,7.333333333333333,12.2,0
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,142,121,1,15,8.066666666666666,4.2,1
Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",188,183,1,15,12.2,1.0,1
Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,127,80,5,15,5.333333333333333,9.4,1
Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,174,109,7,15,7.266666666666667,13.0,0
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,183,117,3,15,7.8,13.2,0
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",115,115,1,15,7.666666666666667,0.0,1
Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,171,105,6,15,7.0,13.2,0
Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",191,141,4,15,9.4,10.0,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,172,115,5,15,7.666666666666667,11.4,1
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,159,124,3,15,8.266666666666667,7.0,1
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,137,103,5,15,6.866666666666666,6.8,1
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,141,90,4,15,6.0,10.2,0
Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,121,119,4,15,7.933333333333334,0.4,1
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,216,158,5,15,10.533333333333333,11.6,0
Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",127,104,4,15,6.933333333333334,4.6,1
Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,142,129,3,15,8.6,2.6,1
Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,137,87,5,15,5.8,10.0,0
Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",133,103,5,15,6.866666666666666,6.0,0
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,163,149,0,15,9.933333333333334,2.8,1
Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,163,117,4,15,7.8,9.2,0
Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,188,117,7,15,7.8,14.2,0
Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",223,136,8,15,9.066666666666666,17.4,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",191,152,2,15,10.133333333333333,7.8,1
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,129,106,4,15,7.066666666666666,4.6,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,157,106,3,15,7.066666666666666,10.2,0
Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",127,84,5,15,5.6,8.6,0
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,166,131,2,15,8.733333333333333,7.0,0
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",149,99,6,15,6.6,10.0,0
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",131,99,5,15,6.6,6.4,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,145,104,8,15,6.933333333333334,8.2,0
Delhi Daredevils,Mumbai Indians,Wankhede Stadium,210,132,6,15,8.8,15.6,0
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,162,138,3,15,9.2,4.8,1
Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",139,119,0,15,7.933333333333334,4.0,1
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,155,135,2,15,9.0,4.0,1
Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,146,128,2,15,8.533333333333333,3.6,1
Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,115,89,5,15,5.933333333333334,5.2,1
Pune Warriors,Mumbai Indians,Wankhede Stadium,184,121,7,15,8.066666666666666,12.6,0
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",166,112,4,15,7.466666666666667,10.8,1
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,181,110,4,15,7.333333333333333,14.2,0
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,125,101,4,15,6.733333333333333,4.8,1
Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",160,104,6,15,6.933333333333334,11.2,0
Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",158,117,4,15,7.8,8.2,0
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,153,129,3,15,8.6,4.8,1
Pune Warriors,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,120,95,4,15,6.333333333333333,5.0,0
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,180,83,7,15,5.533333333333333,19.4,0
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,170,82,8,15,5.466666666666667,17.6,0
Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",124,97,4,15,6.466666666666667,5.4,1
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,120,80,5,15,5.333333333333333,8.0,1
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,118,102,3,15,6.8,3.2,1
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,162,152,1,15,10.133333333333333,2.0,1
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",186,141,3,15,9.4,9.0,1
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",186,154,2,15,10.266666666666667,6.4,1
Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,264,119,5,15,7.933333333333334,29.0,0
Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,121,111,5,15,7.4,2.0,1
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,160,124,3,15,8.266666666666667,7.2,1
Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",160,114,3,15,7.6,9.2,1
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,150,127,3,15,8.466666666666667,4.6,1
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,145,124,2,15,8.266666666666667,4.2,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,195,102,7,15,6.8,18.6,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",201,138,3,15,9.2,12.6,0
Pune Warriors,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,165,119,2,15,7.933333333333334,9.2,0
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,172,130,3,15,8.666666666666666,8.4,1
Kings XI Punjab,Mumbai Indians,Wankhede Stadium,175,129,7,15,8.6,9.2,0
Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,165,96,7,15,6.4,13.8,0
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",130,119,2,15,7.933333333333334,2.2,1
Delhi Daredevils,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,137,114,2,15,7.6,4.6,1
Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",187,133,3,15,8.866666666666667,10.8,0
Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,188,143,4,15,9.533333333333333,9.0,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,133,121,2,15,8.066666666666666,2.4,1
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,140,79,10,15,5.266666666666667,12.2,0
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,179,136,3,15,9.066666666666666,8.6,1
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",191,154,4,15,10.266666666666667,7.4,1
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,155,133,1,15,8.866666666666667,4.4,1
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,171,97,8,15,6.466666666666667,14.8,0
Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",224,111,7,15,7.4,22.6,0
Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",146,117,2,15,7.8,5.8,1
Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,153,95,5,15,6.333333333333333,11.6,0
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,184,129,4,15,8.6,11.0,0
Mumbai Indians,Pune Warriors,Subrata Roy Sahara Stadium,113,93,4,15,6.2,4.0,1
Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",151,96,4,15,6.4,11.0,0
Kolkata Knight Riders,Royal Challengers Bangalore,JSCA International Stadium Complex,116,87,3,15,5.8,5.8,1
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,142,133,4,15,8.866666666666667,1.8,1
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,179,117,4,15,7.8,12.4,1
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,175,148,2,15,9.866666666666667,5.4,1
Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",169,110,6,15,7.333333333333333,11.8,0
Kolkata Knight Riders,Pune Warriors,JSCA International Stadium Complex,171,127,4,15,8.466666666666667,8.8,0
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,167,122,6,15,8.133333333333333,9.0,0
Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,172,111,4,15,7.4,12.2,0
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",137,75,6,15,5.0,12.4,0
Mumbai Indians,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,184,117,6,15,7.8,13.4,0
Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,173,116,5,15,7.733333333333333,11.4,0
Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",131,108,4,15,7.2,4.6,1
Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,193,129,6,15,8.6,12.8,0
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,133,102,6,15,6.8,6.2,1
Mumbai Indians,Rajasthan Royals,Eden Gardens,166,129,3,15,8.6,7.4,1
Chennai Super Kings,Mumbai Indians,Eden Gardens,149,93,8,15,6.2,11.2,0
Mumbai Indians,Kolkata Knight Riders,Sheikh Zayed Stadium,164,106,3,15,7.066666666666666,11.6,0
Royal Challengers Bangalore,Delhi Daredevils,Sharjah Cricket Stadium,146,132,2,15,8.8,2.8,1
Kings XI Punjab,Chennai Super Kings,Sheikh Zayed Stadium,206,172,4,15,11.466666666666667,6.8,1
Rajasthan Royals,Sunrisers Hyderabad,Sheikh Zayed Stadium,134,108,4,15,7.2,5.2,1
Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,116,95,3,15,6.333333333333333,4.2,1
Delhi Daredevils,Kolkata Knight Riders,Dubai International Cricket Stadium,167,127,5,15,8.466666666666667,8.0,1
Kings XI Punjab,Rajasthan Royals,Sharjah Cricket Stadium,192,143,3,15,9.533333333333333,9.8,1
Delhi Daredevils,Chennai Super Kings,Sheikh Zayed Stadium,178,84,9,15,5.6,18.8,0
Sunrisers Hyderabad,Kings XI Punjab,Sharjah Cricket Stadium,194,108,7,15,7.2,17.2,0
Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,141,92,8,15,6.133333333333334,9.8,0
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,151,123,3,15,8.2,5.6,0
Delhi Daredevils,Sunrisers Hyderabad,Dubai International Cricket Stadium,185,129,2,15,8.6,11.2,0
Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,142,114,3,15,7.6,5.6,1
Kolkata Knight Riders,Kings XI Punjab,Sheikh Zayed Stadium,133,85,8,15,5.666666666666667,9.6,0
Delhi Daredevils,Mumbai Indians,Sharjah Cricket Stadium,126,105,4,15,7.0,4.2,1
Chennai Super Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,146,127,4,15,8.466666666666667,3.8,1
Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,125,105,5,15,7.0,4.0,1
Kolkata Knight Riders,Rajasthan Royals,Sheikh Zayed Stadium,153,111,4,15,7.4,8.4,0
Mumbai Indians,Sunrisers Hyderabad,Dubai International Cricket Stadium,173,115,4,15,7.666666666666667,11.6,0
Kolkata Knight Riders,Chennai Super Kings,JSCA International Stadium Complex,149,110,7,15,7.333333333333333,7.8,0
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,169,124,4,15,8.266666666666667,9.0,1
Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,153,124,3,15,8.266666666666667,5.8,1
Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,156,116,5,15,7.733333333333333,8.0,1
Kolkata Knight Riders,Rajasthan Royals,"Sardar Patel Stadium, Motera",171,126,6,15,8.4,9.0,0
Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,179,141,1,15,9.4,7.6,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,188,134,5,15,8.933333333333334,10.8,0
Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,161,138,1,15,9.2,4.6,1
Chennai Super Kings,Kings XI Punjab,Barabati Stadium,232,127,4,15,8.466666666666667,21.0,0
Rajasthan Royals,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",135,84,6,15,5.6,10.2,0
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,199,128,7,15,8.533333333333333,14.2,0
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,158,125,3,15,8.333333333333334,6.6,1
Kolkata Knight Riders,Kings XI Punjab,Barabati Stadium,150,131,1,15,8.733333333333333,3.8,1
Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,191,126,5,15,8.4,13.0,1
Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",158,132,2,15,8.8,5.2,1
Chennai Super Kings,Rajasthan Royals,JSCA International Stadium Complex,149,112,4,15,7.466666666666667,7.4,1
Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,187,123,5,15,8.2,12.8,0
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",206,175,4,15,11.666666666666666,6.2,1
Kolkata Knight Riders,Mumbai Indians,Barabati Stadium,142,116,3,15,7.733333333333333,5.2,1
Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",202,99,8,15,6.6,20.6,0
Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex,139,96,2,15,6.4,8.6,1
Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",143,107,3,15,7.133333333333334,7.2,1
Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",179,102,7,15,6.8,15.4,0
Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,165,139,5,15,9.266666666666667,5.2,1
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",161,126,1,15,8.4,7.0,1
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,155,128,2,15,8.533333333333333,5.4,1
Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",157,142,2,15,9.466666666666667,3.0,1
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,196,128,3,15,8.533333333333333,13.6,0
Sunrisers Hyderabad,Chennai Super Kings,JSCA International Stadium Complex,186,157,1,15,10.466666666666667,5.8,1
Delhi Daredevils,Mumbai Indians,Wankhede Stadium,174,116,3,15,7.733333333333333,11.6,0
Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",180,103,6,15,6.866666666666666,15.4,0
Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,155,133,2,15,8.866666666666667,4.4,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,161,161,6,15,10.733333333333333,0.0,1
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,190,195,5,15,13.0,-1.0,1
Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,164,97,6,15,6.466666666666667,13.4,0
Chennai Super Kings,Mumbai Indians,Brabourne Stadium,174,152,3,15,10.133333333333333,4.4,1
Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,227,164,6,15,10.933333333333334,12.6,0
Kolkata Knight Riders,Kings XI Punjab,M Chinnaswamy Stadium,200,161,4,15,10.733333333333333,7.8,1
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,169,131,3,15,8.733333333333333,7.6,1
Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",151,110,6,15,7.333333333333333,8.2,0
Kings XI Punjab,Rajasthan Royals,Maharashtra Cricket Association Stadium,163,113,5,15,7.533333333333333,10.0,0
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",210,132,4,15,8.8,15.6,0
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,178,132,5,15,8.8,9.2,1
Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,185,141,5,15,9.4,8.8,1
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,178,96,6,15,6.4,16.4,0
Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,167,142,2,15,9.466666666666667,5.0,1
Rajasthan Royals,Mumbai Indians,"Sardar Patel Stadium, Motera",165,126,3,15,8.4,7.8,1
Delhi Daredevils,Kings XI Punjab,Maharashtra Cricket Association Stadium,166,135,2,15,9.0,6.2,1
Rajasthan Royals,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,128,101,3,15,6.733333333333333,5.4,1
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,184,173,4,15,11.533333333333333,2.2,1
Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,168,120,4,15,8.0,9.6,0
Kolkata Knight Riders,Kings XI Punjab,Maharashtra Cricket Association Stadium,156,139,5,15,9.266666666666667,3.4,1
Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",157,144,0,15,9.6,2.6,1
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,210,144,6,15,9.6,13.2,0
Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,147,131,3,15,8.733333333333333,3.2,1
Kings XI Punjab,Rajasthan Royals,"Sardar Patel Stadium, Motera",192,138,4,15,9.2,10.8,1
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,182,123,5,15,8.2,11.8,0
Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,191,131,5,15,8.733333333333333,12.0,0
Royal Challengers Bangalore,Rajasthan Royals,"Sardar Patel Stadium, Motera",131,130,1,15,8.666666666666666,0.2,1
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,158,114,4,15,7.6,8.8,0
Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",193,83,7,15,5.533333333333333,22.0,0
Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",151,105,5,15,7.0,9.2,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",135,95,5,15,6.333333333333333,8.0,0
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,166,132,3,15,8.8,6.8,1
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,188,140,3,15,9.333333333333334,9.6,0
Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",193,136,5,15,9.066666666666666,11.4,0
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",173,118,3,15,7.866666666666666,11.0,0
Delhi Daredevils,Rajasthan Royals,Brabourne Stadium,190,126,5,15,8.4,12.8,0
Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",149,109,5,15,7.266666666666667,8.0,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,168,92,7,15,6.133333333333334,15.2,0
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,153,110,5,15,7.333333333333333,8.6,1
Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,172,113,5,15,7.533333333333333,11.8,0
Rajasthan Royals,Sunrisers Hyderabad,Brabourne Stadium,202,135,5,15,9.0,13.4,0
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",159,108,3,15,7.2,10.2,1
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,184,155,5,15,10.333333333333334,5.8,1
Delhi Daredevils,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,164,126,4,15,8.4,7.6,0
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,236,151,4,15,10.066666666666666,17.0,0
Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",158,107,5,15,7.133333333333334,10.2,0
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",186,116,6,15,7.733333333333333,14.0,0
Delhi Daredevils,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,120,114,4,15,7.6,1.2,1
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,172,130,5,15,8.666666666666666,8.4,0
Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",131,117,3,15,7.8,2.8,1
Kolkata Knight Riders,Rajasthan Royals,Brabourne Stadium,200,151,6,15,10.066666666666666,9.8,0
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,188,129,7,15,8.6,11.8,0
Rajasthan Royals,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,181,95,8,15,6.333333333333333,17.2,0
Chennai Super Kings,Royal Challengers Bangalore,JSCA International Stadium Complex,140,106,3,15,7.066666666666666,6.8,1
Chennai Super Kings,Mumbai Indians,Eden Gardens,203,125,5,15,8.333333333333334,15.6,0
Rising Pune Supergiants,Mumbai Indians,Wankhede Stadium,122,126,1,15,8.4,-0.8,1
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,99,99,1,15,6.6,0.0,1
Gujarat Lions,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",162,142,4,15,9.466666666666667,4.0,1
Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,228,147,6,15,9.8,16.2,0
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,188,157,3,15,10.466666666666667,6.2,1
Gujarat Lions,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,164,147,2,15,9.8,3.4,1
Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",143,123,2,15,8.2,4.0,1
Gujarat Lions,Mumbai Indians,Wankhede Stadium,144,109,4,15,7.266666666666667,7.0,1
Kings XI Punjab,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",153,118,3,15,7.866666666666666,7.0,1
Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,192,158,2,15,10.533333333333333,6.8,1
Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",143,122,3,15,8.133333333333333,4.2,1
Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",139,124,4,15,8.266666666666667,3.0,1
